Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Instituto da Assistência Médica ao Servidor Público Estadual;98/2020;PREGÃO ELETRÔNICO;MEDTRONIC COMERCIAL LTDA;15/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393377
Instituto da Assistência Médica ao Servidor Público Estadual;98/2020;PREGÃO ELETRÔNICO;E. TAMUSSINO & CIA. LTDA.;15/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393377
Penitenciária Jairo de Almeida Bueno de Itapetininga;2020CT00180;CONVITE;MIXPEL DISTRIBUIDORA-EIRELI-ME;09/04/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406940
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1032019PLGV;PREGÃO ELETRÔNICO;DLBT TRANSPORTE E ATACADO DE CARNES EIRELI;19/12/2019 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381615
Instituto da Assistência Médica ao Servidor Público Estadual;53/2020;PREGÃO ELETRÔNICO;SEROPLAST IND E COM DE PRODS HOSP;15/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391098
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1032019PLGV;PREGÃO ELETRÔNICO;DLBT TRANSPORTE E ATACADO DE CARNES EIRELI;19/12/2019 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381613
Companhia de Saneamento Básico do Estado de São Paulo;;COMPRA POR ATA DE REGISTRO DE PREÇO;AVK VÁLVULAS DO BRASIL LTDA.;20/03/2020 00:00;16/04/2020 00:00;105;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406188
Penitenciária de Bernardino de Campos;2019ct00347;PREGÃO ELETRÔNICO;GISELE REGINA RODRIGUES KNITTEL ME.;05/09/2019 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1350500
Diretoria de Ensino Região de Andradina;007/20;PREGÃO ELETRÔNICO;FC CLEAN SERV. DE HIGIENIZAÇÃO E TRANSPORTE E LOCA;01/04/2020 00:00;16/04/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391695
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1072019PLGV;PREGÃO ELETRÔNICO;MUNDO SELETIVO COMERCIO DE ALIMENTOS EIRELI - EPP;19/12/2019 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381615
Instituto da Assistência Médica ao Servidor Público Estadual;112/2020;PREGÃO ELETRÔNICO;PRATI, DONADUZZI & CIA LTDA;15/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397598
Companhia de Saneamento Básico do Estado de São Paulo;;COMPRA POR ATA DE REGISTRO DE PREÇO;ANGOLINI & ANGOLINI LTDA.;19/03/2020 00:00;16/04/2020 00:00;105;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406188
Penitenciária Luiz Gonzaga Vieira de Pirajuí;0022020PLGV;PREGÃO ELETRÔNICO;O. SARTORI FRIOS ME;06/02/2020 00:00;16/04/2020 00:00;80;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389065
Centro de Detenção Provisória Dr. Felix Nobre de Campos - Taubaté;2020NE00166;DISPENSA;FERNANDO CINHACHI & LTDA ME;08/04/2020 00:00;16/04/2020 00:00;2;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406790
Centro Regional de Administração de Guarulhos;23736-SAAC-0084/2016;PREGÃO ELETRÔNICO;QUALITY CLIMA AR CONDICIONADO LTDA;14/04/2020 00:00;16/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1095361
Centro de Detenção Provisória Dr. Felix Nobre de Campos - Taubaté;2020NE00167;DISPENSA;FERNANDO CINHACHI & LTDA ME;08/04/2020 00:00;16/04/2020 00:00;2;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406790
Fundação Casa - Divisão Regional Metropolitana Oeste - DRM IV;0040/20;PREGÃO ELETRÔNICO;CONFECÇÃO GN FORMS EIRELI;13/04/2020 00:00;16/04/2020 00:00;25;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398424
Penitenciária Ten. PM José Alfredo Cintra Borin de Reginópolis;022/2020 ;PREGÃO ELETRÔNICO;HYRE COMERCIO DE ALIMENTOS E BEBIDAS EIRELI;08/04/2020 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401510
Fundação Casa - Divisão Regional Metropolitana Oeste - DRM IV;0041/20;PREGÃO ELETRÔNICO;PEDRO OLAVO FABBRI FAZIO CONFECÇÃO E COMÉRCIO - ME;13/04/2020 00:00;16/04/2020 00:00;25;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398424
Companhia de Saneamento Básico do Estado de São Paulo;;COMPRA POR ATA DE REGISTRO DE PREÇO;GV do Brasil Fundidos Eireli;06/04/2020 00:00;16/04/2020 00:00;105;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406191
Complexo Hospitalar do Juquery;006/2020;PREGÃO ELETRÔNICO;BIOVETOR SOLUÇÕES EM CONTROLE DE PRAGAS;07/04/2020 00:00;16/04/2020 00:00;180;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392052
Fundação Casa - Divisão Regional Metropolitana Oeste - DRM IV;0042/20;PREGÃO ELETRÔNICO;E. R. MORAES UNIFORMES PROFISSIONAIS;09/04/2020 00:00;16/04/2020 00:00;25;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398424
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;060/2020;PREGÃO ELETRÔNICO;FANEM LTDA;15/04/2020 00:00;16/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403122
Penitenciária Ten. PM José Alfredo Cintra Borin de Reginópolis;016/2020 ;PREGÃO ELETRÔNICO;RODRIGO PAPILE LANEZA;08/04/2020 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401507
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00019;CONVITE;RMR INFORMÁTICA COMÉRCIO LTDA - EPP;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1042019PLGV;PREGÃO ELETRÔNICO;DISTRIBUIDORA DE FRIOS DE VITO LTDA;16/03/2020 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381613
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00020;CONVITE;FUSÃO COLOR CARTUCHOS E TONERS LTDA - ME;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00021;CONVITE;UNIVERSO TONER COMERCIAL LTDA;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1022019PLGV;PREGÃO ELETRÔNICO;FRIOLI FRIGORIFICO OLIVEIRA LTDA;16/03/2020 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381613
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00022;CONVITE;B.S. TECH COMERCIAL EIRELI;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
Hospital das Clinicas da FMUSP;036/2020;PREGÃO ELETRÔNICO;UNIAO INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - ME;09/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391632
Penitenciária Luiz Gonzaga Vieira de Pirajuí;1062019PLGV;PREGÃO ELETRÔNICO;BELARIS ALIMENTOS LTDA EPP;16/03/2020 00:00;16/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381615
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00023;CONVITE;TORPEDO COMERCIAL DE COMPUTADORES EIRELI EPP;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
Hospital das Clinicas da FMUSP;1224/2019;PREGÃO ELETRÔNICO;SPECTRUN BIO ENGENHARIA MEDICA HOSPITALAR LTDA;13/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386368
6ª Delegacia Seccional de Policia Judiciária da Capital;2020CT00024;CONVITE;INFORSHOP SUPRIMENTOS LTDA;31/03/2020 00:00;16/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397981
Hospital das Clinicas da FMUSP;1224/2019;PREGÃO ELETRÔNICO;MERCK S/A;13/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1386368
Hospital das Clinicas da FMUSP;39/2020;PREGÃO ELETRÔNICO;SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.;13/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392141
Hospital das Clinicas da FMUSP;51/2020;PREGÃO ELETRÔNICO;LABTECH PRODUTOS PARA LABORATORIOS E HOSPITAIS EIR;13/04/2020 00:00;16/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391636
Penitenciária Ten. PM José Alfredo Cintra Borin de Reginópolis;004/2020;PREGÃO ELETRÔNICO;MOINHO GLOBO ALIMENTOS S/A;19/03/2020 00:00;16/04/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397038
Penitenciária Luiz Gonzaga Vieira de Pirajuí;0642019PLGV;PREGÃO ELETRÔNICO;MARIANA PINHEIRO SANCHES DA SILVA - ME;30/08/2019 00:00;16/04/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1348430
Penitenciária Luiz Gonzaga Vieira de Pirajuí;0842019PLGV;PREGÃO ELETRÔNICO;MARIANA PINHEIRO SANCHES DA SILVA - ME;11/10/2019 00:00;16/04/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1360972
Penitenciária Nilton Silva de Franco da Rocha;2020ct00133;CONVITE;MIXPEL DISTRIBUIDORA EIRELI ME;13/04/2020 00:00;17/04/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404047
Delegacia Seccional de Policia de Osasco;44136;PREGÃO ELETRÔNICO;Lettech Indústria e Comércio de Equipamentos de In;03/04/2020 00:00;17/04/2020 00:00;9;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398727
Penitenciária Nilton Silva de Franco da Rocha;2020ct00134;CONVITE;NOVA ALAGOAS SUPRM. PARA ESCRIT.EIRELI EPP;13/04/2020 00:00;17/04/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404047
Unicamp - Diretoria Geral da Administração;288/2019;PREGÃO ELETRÔNICO;BECTON DICKINSON INDUSTRIAS CIRUR. LTDA;16/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374345
Delegacia Seccional de Policia de Osasco;44166;PREGÃO ELETRÔNICO;Imax Led Distribuidora Ltda;03/04/2020 00:00;17/04/2020 00:00;9;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398727
Delegacia Seccional de Policia de Osasco;13/2020;PREGÃO ELETRÔNICO;Luminus Comercial Elétrica Ltda;03/04/2020 00:00;17/04/2020 00:00;9;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398727
Penitenciária Nelson Marcondes do Amaral;006/2020;PREGÃO ELETRÔNICO;NUTRICIONALE COMÉRCIO DE ALIMENTOS LTDA.;08/04/2020 00:00;17/04/2020 00:00;23;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397576
Unicamp - Diretoria Geral da Administração;289/2020;PREGÃO ELETRÔNICO;NACIONAL COMERCIAL HOSPITALAR S.A;16/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374345
Delegacia Seccional de Policia de Osasco;14/2020;PREGÃO ELETRÔNICO;DR Comércio de Materiais Elétricos Ltda;03/04/2020 00:00;17/04/2020 00:00;9;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398727
Delegacia Seccional de Policia de Osasco;15/2020;PREGÃO ELETRÔNICO;RDLed Comercial Eireli - ME;03/04/2020 00:00;17/04/2020 00:00;9;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398727
Delegacia Seccional de Policia de Osasco;43831;PREGÃO ELETRÔNICO;Messias Distribuidora de Bebidas Eireli - ME;03/04/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397347
Centro Médico da Polícia MIlitar;CMed-003/543/20;PREGÃO ELETRÔNICO;ADAPTA MEDICAL IMP EXP COM E SERV EIRELI - EPP;23/03/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388977
Delegacia Seccional de Policia de Osasco;43862;PREGÃO ELETRÔNICO;Rinaldo Lopes MEI;27/03/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397347
Centro Médico da Polícia MIlitar;CMed-003/543/20;PREGÃO ELETRÔNICO;BONE LIFE MATERIAIS MEDICOS EIRELI;23/03/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388977
Centro Médico da Polícia MIlitar;CMed-003/543/20;PREGÃO ELETRÔNICO;GC DISTRIBUIDORA PRODUTOS ORTOPEDICOS LTDA;23/03/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388977
Delegacia Seccional de Policia de Osasco;43831;PREGÃO ELETRÔNICO;Messias Distribuidora de Bebidas Eireli - ME;27/03/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397347
Unicamp - Diretoria Geral da Administração;290/2020;PREGÃO ELETRÔNICO;MP COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;16/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374345
Delegacia Seccional de Policia de Osasco;43891;PREGÃO ELETRÔNICO;Renato Frias M/E;27/03/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397347
Penitenciária Nilton Silva de Franco da Rocha;2020ct00135;CONVITE;LOIDE FLORENCIO DE SOUZA COLOGNESI;13/04/2020 00:00;17/04/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404047
Centro Médico da Polícia MIlitar;CMed-003/543/20;PREGÃO ELETRÔNICO;BONE SURGICAL EQUIPAMENTOS MEDICOS EIRELI;23/03/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1388977
Delegacia Seccional de Policia de Osasco;43922;PREGÃO ELETRÔNICO;Vitor Loli Comércio de Produtos Alimentícios;01/04/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397394
Penitenciária Nilton Silva de Franco da Rocha;2020ct00136;CONVITE;SISTECNICA INFORMATICA E SERVIÇOS EIRELI;13/04/2020 00:00;17/04/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404047
Delegacia Seccional de Policia de Osasco;43952;PREGÃO ELETRÔNICO;Driveop I Importadora e Exportadora Ltda;01/04/2020 00:00;17/04/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397394
Penitenciária Nilton Silva de Franco da Rocha;2020CT00137;CONVITE;BIGNARDI IND. E COM. DE PAPEIS E ARTEFATOS LTDA;13/04/2020 00:00;17/04/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404047
Departamento Aeroviário do Estado de São Paulo;040/2019;CONVITE;OFFICIATI & CIA LTDA;10/03/2020 00:00;17/04/2020 00:00;150;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1364581
Unicamp - Diretoria Geral da Administração;294/2020;PREGÃO ELETRÔNICO;ALFAPLAST COMÉRCIO DE PRD. PARA LAB. LTDA;16/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387297
Unicamp - Diretoria Geral da Administração;297/2020;PREGÃO ELETRÔNICO;LUMAR COMÉRCIO DE PROD. FARMACÊUTICOS LTDA;16/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387297
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87036050100;PREGÃO ELETRÔNICO;Pioneira Saneamento e Limpeza Urbana Ltda.;14/04/2020 00:00;17/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389973
Penitenciária Ag. de Seg. Penit. Paulo Guimarães de Lavínia;2020NE00217;CONVITE;PILAR COMERCIO DE CEREAIS;16/04/2020 00:00;18/04/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404244
Centro Regional de Administração de Campinas;2020CT00030;CONVITE;BIOLIMP INDUSTRIAL EIRELI - EPP;02/03/2020 00:00;18/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392086
Centro Regional de Administração de Campinas;2020CT00031;CONVITE;MUCCIO & MUCCIO LTDA - EPP;02/03/2020 00:00;18/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392086
Hospital Regional de Assis;44044;PREGÃO ELETRÔNICO;Laborclin Produtos para Lab. Ltda.;18/03/2020 00:00;18/04/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392806
Centro Regional de Administração de Campinas;2020CT00032;CONVITE;MUCCIO & MUCCIO LTDA - EPP;02/03/2020 00:00;18/04/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392086
Unicamp-Hospital de Clínicas;308/2020;PREGÃO ELETRÔNICO;QUALITY MEDICAL COMERCIO E DIST DE MEDIC LTDA;15/04/2020 00:00;18/04/2020 00:00;12;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393880
Hospital das Clinicas da FMUSP;1236/19     ;PREGÃO ELETRÔNICO;LMS DISTRIBUIDORA DE ALIMENTOS EIRELI EPP;15/04/2020 00:00;18/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397432
Diretoria de Ensino Região Norte 2;017/16;PREGÃO ELETRÔNICO;Flex Elevadores Comércio de Peças e Manut. Ltda;31/01/2020 00:00;18/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1061899
Diretoria de Ensino Região Norte 2;045/17;PREGÃO ELETRÔNICO;Flex Elevadores Com de Peças e Manutenção Ltda;31/03/2020 00:00;18/04/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1163191
Diretoria de Ensino Região Norte 2;029/16;PREGÃO ELETRÔNICO;Associação Educacional da Juventude - ASSEJ;01/10/2019 00:00;18/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1091095
Secretaria Estadual da Saúde - Gabinete do Secretário;151/2019;PREGÃO ELETRÔNICO;NACIONAL HOSPITALAR;14/04/2020 00:00;18/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391911
Secretaria Estadual de Infraestrutura e Meio Ambiente - Gabinete Secretario;2020NE00281;DISPENSA;Imprensa Oficial do Estado S/A – IMESP;16/04/2020 00:00;18/04/2020 00:00;36;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1407896
Comando de Policiamento do Interior 8;2020CT00377;PREGÃO ELETRÔNICO;AUTARQUIA COMÉRCIO E SAÚDE ANIMAL LTDA - EPP;17/04/2020 00:00;18/04/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401269
Fundação Casa Divisão Regional Vale do Paraíba;008/2017-DRVP;PREGÃO ELETRÔNICO;ACQUA BOOM SANEAMENTO AMBIENTAL LTDA-EPP;12/03/2020 00:00;18/04/2020 00:00;7;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1168369
Hospital das Clinicas da FMUSP;1236/19     ;PREGÃO ELETRÔNICO;DE PAULI COMÉRCIO REPRESENTAÇÃO IMPORTAÇÃO E EXPOR;15/04/2020 00:00;18/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397980
Coordenadoria de Assist. Farmacêutica - Gabinete Coordenador;ARP00001;PREGÃO ELETRÔNICO;SANOFI MEDLEY FARMACEUTICA LTDA;17/04/2020 00:00;18/04/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1326709
Penitenciária de Valparaíso;2020CT00140;PREGÃO ELETRÔNICO;VALERIA VIDOTO BOGAZ ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Coordenadoria de Unidades Prisionais da Região Metropolitana de São Paulo;2020CT00111;DISPENSA;FUND.PROF.DR.MANOEL P.PIMENTEL - UGFRP;16/04/2020 00:00;23/04/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1408364
Hospital das Clinicas da FMUSP;1236/19     ;PREGÃO ELETRÔNICO;TORREFACAO E MOAGEM DE CAFE LOLI LTDA;16/04/2020 00:00;23/04/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401254
Penitenciária de Valparaíso;2020CT00140;PREGÃO ELETRÔNICO;VALERIA VIDOTO BOGAZ ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Penitenciária de Valparaíso;2020CT00141;PREGÃO ELETRÔNICO;VITOR LOLI COMERCIO DE PRODUTOS ALIMENTIC;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
Penitenciária de Valparaíso;2020CT00142;PREGÃO ELETRÔNICO;GABRIELA P. DOS SANTOS - ME;08/04/2020 00:00;23/04/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401289
